Lexema: - 1 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
Lexema: - 1 ; Token: Es un digito
Lexema: - 2 ; Token: Es un digito
Lexema: - 3 ; Token: Es un digito
Lexema: - 4 ; Token: Es un digito
Lexema: - 5 ; Token: Es un digito
